DATE,TRFVOLUSM227NFWA
7/1/1996,225109
8/1/1996,229050
9/1/1996,207604
10/1/1996,215654
11/1/1996,199643
12/1/1996,201462
1/1/1997,190126
2/1/1997,183950
3/1/1997,211952
4/1/1997,211290
5/1/1997,226082
6/1/1997,222254
7/1/1997,236713
8/1/1997,233496
9/1/1997,213547
10/1/1997,221219
11/1/1997,202422
12/1/1997,207322
1/1/1998,196870
2/1/1998,187167
3/1/1998,214222
4/1/1998,217921
5/1/1998,227899
6/1/1998,228733
7/1/1998,239944
8/1/1998,237143
9/1/1998,219461
10/1/1998,228523
11/1/1998,211178
12/1/1998,216303
1/1/1999,193581
2/1/1999,191485
3/1/1999,220763
4/1/1999,220996
5/1/1999,230786
6/1/1999,235970
7/1/1999,243116
8/1/1999,241503
9/1/1999,224306
10/1/1999,233631
11/1/1999,221856
12/1/1999,221465
1/1/2000,203442
2/1/2000,199261
3/1/2000,232490
4/1/2000,227698
5/1/2000,242501
6/1/2000,242963
7/1/2000,245140
8/1/2000,247832
9/1/2000,227899
10/1/2000,236491
11/1/2000,222819
12/1/2000,218390
1/1/2001,209685
2/1/2001,200876
3/1/2001,232587
4/1/2001,232513
5/1/2001,245357
6/1/2001,243498
7/1/2001,250363
8/1/2001,253274
9/1/2001,226312
10/1/2001,241050
11/1/2001,230511
12/1/2001,229584
1/1/2002,215215
2/1/2002,208237
3/1/2002,236070
4/1/2002,237226
5/1/2002,251746
6/1/2002,247868
7/1/2002,256392
8/1/2002,258666
9/1/2002,233625
10/1/2002,245556
11/1/2002,230648
12/1/2002,234260
1/1/2003,218534
2/1/2003,203677
3/1/2003,236679
4/1/2003,239415
5/1/2003,253244
6/1/2003,252145
7/1/2003,262105
8/1/2003,260687
9/1/2003,237451
10/1/2003,254048
11/1/2003,233698
12/1/2003,238538
1/1/2004,222450
2/1/2004,213709
3/1/2004,251403
4/1/2004,250968
5/1/2004,257235
6/1/2004,257383
7/1/2004,265969
8/1/2004,262836
9/1/2004,243515
10/1/2004,254496
11/1/2004,239796
12/1/2004,245029
1/1/2005,224072
2/1/2005,219970
3/1/2005,253182
4/1/2005,250860
5/1/2005,262678
6/1/2005,263816
7/1/2005,267025
8/1/2005,265323
9/1/2005,242240
10/1/2005,251419
11/1/2005,243056
12/1/2005,245787
1/1/2006,233282
2/1/2006,220711
3/1/2006,256623
4/1/2006,250644
5/1/2006,263370
6/1/2006,263782
7/1/2006,263421
8/1/2006,265206
9/1/2006,245605
10/1/2006,257939
11/1/2006,245346
12/1/2006,248187
1/1/2007,233621
2/1/2007,219232
3/1/2007,259638
4/1/2007,252595
5/1/2007,267574
6/1/2007,265374
7/1/2007,267106
8/1/2007,271225
9/1/2007,245965
10/1/2007,261423
11/1/2007,245787
12/1/2007,240281
1/1/2008,232920
2/1/2008,221336
3/1/2008,252343
4/1/2008,252088
5/1/2008,261466
6/1/2008,257484
7/1/2008,261600
8/1/2008,260609
9/1/2008,239607
10/1/2008,255848
11/1/2008,236465
12/1/2008,241742
1/1/2009,225529
2/1/2009,217643
3/1/2009,249741
4/1/2009,251374
5/1/2009,258276
6/1/2009,258395
7/1/2009,264472
8/1/2009,260297
9/1/2009,241970
10/1/2009,252209
11/1/2009,237264
12/1/2009,239593
1/1/2010,220839
2/1/2010,210635
3/1/2010,254238
4/1/2010,253936
5/1/2010,256927
6/1/2010,260083
7/1/2010,265315
8/1/2010,263837
9/1/2010,244682
10/1/2010,256395
11/1/2010,239579
12/1/2010,240800
1/1/2011,223790
2/1/2011,213463
3/1/2011,253124
4/1/2011,249578
5/1/2011,254083
6/1/2011,258350
7/1/2011,260175
8/1/2011,260526
9/1/2011,242062
10/1/2011,251906
11/1/2011,238535
12/1/2011,244810
1/1/2012,227527
2/1/2012,218196
3/1/2012,256166
4/1/2012,249394
5/1/2012,260774
6/1/2012,260376
7/1/2012,260244
8/1/2012,264379
9/1/2012,238867
10/1/2012,253574
11/1/2012,240361
12/1/2012,238709
1/1/2013,229419
2/1/2013,215803
3/1/2013,253026
4/1/2013,252064
5/1/2013,263406
6/1/2013,259980
7/1/2013,263946
8/1/2013,268061
9/1/2013,242536
10/1/2013,258748
11/1/2013,240055
12/1/2013,241237
1/1/2014,226413
2/1/2014,213949
3/1/2014,253424
4/1/2014,256736
5/1/2014,266237
6/1/2014,263459
7/1/2014,270053
8/1/2014,268831
9/1/2014,247688
10/1/2014,265144
11/1/2014,241451
12/1/2014,252271
1/1/2015,233498
2/1/2015,217220
3/1/2015,258017
4/1/2015,262817
5/1/2015,270839
6/1/2015,270574
7/1/2015,278372
8/1/2015,272209
9/1/2015,255090
10/1/2015,268469
11/1/2015,248843
12/1/2015,259424
1/1/2016,239679
2/1/2016,223011
3/1/2016,265147
4/1/2016,269653
5/1/2016,277972
6/1/2016,276991
7/1/2016,285160
8/1/2016,279213
9/1/2016,262039
10/1/2016,275610
11/1/2016,255154
12/1/2016,264778
1/1/2017,242600
2/1/2017,225644
3/1/2017,268343
4/1/2017,272864
5/1/2017,281264
6/1/2017,280290
7/1/2017,288566
8/1/2017,282558
9/1/2017,265212
10/1/2017,278888
11/1/2017,258159
12/1/2017,267958
1/1/2018,244736
2/1/2018,227759
3/1/2018,270705
4/1/2018,275127
5/1/2018,283713
6/1/2018,282648
7/1/2018,290989
8/1/2018,284989
9/1/2018,267434
10/1/2018,281382
11/1/2018,260473
12/1/2018,270370
1/1/2019,246517
2/1/2019,229346
3/1/2019,272537
4/1/2019,276976
5/1/2019,285544
6/1/2019,284106
7/1/2019,292717
8/1/2019,286439
9/1/2019,268847
10/1/2019,282972
11/1/2019,261735
12/1/2019,272191
